,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_10_FastText_historicalVAD,0.5886,0.0,0.4345,0.0,0.2492,0.0124,0.4241
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_11_FastText_historicalVAD,0.5639,0.0,0.4476,0.0,0.2239,0.0251,0.4118
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_12_FastText_historicalVAD,0.5671,0.0,0.4451,0.0,0.2156,0.0312,0.4093
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_13_FastText_historicalVAD,0.5736,0.0,0.4205,0.0,0.2113,0.0348,0.4018
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_14_FastText_historicalVAD,0.5801,0.0,0.4384,0.0,0.2334,0.0194,0.4173
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_15_FastText_historicalVAD,0.5751,0.0,0.4645,0.0,0.2218,0.0266,0.4205
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_16_FastText_historicalVAD,0.5814,0.0,0.4532,0.0,0.2433,0.0147,0.426
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_17_FastText_historicalVAD,0.607,0.0,0.4433,0.0,0.2338,0.0192,0.428
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_18_FastText_historicalVAD,0.5903,0.0,0.4569,0.0,0.2367,0.0177,0.428
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_19_FastText_historicalVAD,0.5855,0.0,0.4654,0.0,0.2184,0.0291,0.4231
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_1_FastText_historicalVAD,0.5489,0.0,0.455,0.0,0.2055,0.0403,0.4031
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_20_FastText_historicalVAD,0.5564,0.0,0.4778,0.0,0.215,0.0317,0.4164
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_21_FastText_historicalVAD,0.5825,0.0,0.4451,0.0,0.2124,0.0339,0.4133
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_22_FastText_historicalVAD,0.5904,0.0,0.4834,0.0,0.2362,0.018,0.4366
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_23_FastText_historicalVAD,0.5796,0.0,0.4498,0.0,0.2201,0.0278,0.4165
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_24_FastText_historicalVAD,0.5739,0.0,0.4823,0.0,0.2207,0.0274,0.4256
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_25_FastText_historicalVAD,0.5882,0.0,0.4235,0.0,0.2173,0.0299,0.4096
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_26_FastText_historicalVAD,0.5502,0.0,0.4483,0.0,0.2131,0.0333,0.4038
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_27_FastText_historicalVAD,0.5711,0.0,0.4623,0.0,0.2203,0.0276,0.4179
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_28_FastText_historicalVAD,0.6005,0.0,0.449,0.0,0.231,0.0208,0.4268
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_29_FastText_historicalVAD,0.5882,0.0,0.4515,0.0,0.2252,0.0243,0.4216
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_2_FastText_historicalVAD,0.5716,0.0,0.4315,0.0,0.1816,0.0706,0.3949
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_30_FastText_historicalVAD,0.5687,0.0,0.4585,0.0,0.2329,0.0197,0.42
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_31_FastText_historicalVAD,0.5779,0.0,0.4507,0.0,0.2509,0.0118,0.4265
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_32_FastText_historicalVAD,0.5495,0.0,0.4512,0.0,0.2112,0.035,0.4039
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_33_FastText_historicalVAD,0.5766,0.0,0.459,0.0,0.2172,0.03,0.4176
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_34_FastText_historicalVAD,0.5917,0.0,0.4787,0.0,0.2342,0.019,0.4348
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_35_FastText_historicalVAD,0.591,0.0,0.4142,0.0,0.2315,0.0205,0.4122
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_36_FastText_historicalVAD,0.5714,0.0,0.4617,0.0,0.2278,0.0227,0.4203
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_37_FastText_historicalVAD,0.6038,0.0,0.4718,0.0,0.2315,0.0205,0.4357
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_38_FastText_historicalVAD,0.6018,0.0,0.4054,0.0,0.2221,0.0263,0.4098
HistoricalVAD\FastText_LinearRegression\NRC_VAD6000\NRC_VAD_6000_39_FastText_historicalVAD,0.5878,0.0,0.4637,0.0,0.2346,0.0188,0.4287
