,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_10_FastText_historicalVAD,0.5333,0.0,0.4661,0.0,0.2506,0.0119,0.4167
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_11_FastText_historicalVAD,0.5434,0.0,0.4655,0.0,0.2534,0.011,0.4208
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_12_FastText_historicalVAD,0.536,0.0,0.4755,0.0,0.2435,0.0147,0.4183
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_13_FastText_historicalVAD,0.5448,0.0,0.4684,0.0,0.2423,0.0151,0.4185
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_14_FastText_historicalVAD,0.534,0.0,0.4599,0.0,0.2489,0.0125,0.4143
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_15_FastText_historicalVAD,0.5312,0.0,0.4652,0.0,0.248,0.0129,0.4148
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_16_FastText_historicalVAD,0.5421,0.0,0.4581,0.0,0.2487,0.0126,0.4163
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_17_FastText_historicalVAD,0.5349,0.0,0.4618,0.0,0.2392,0.0165,0.412
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_18_FastText_historicalVAD,0.5352,0.0,0.456,0.0,0.258,0.0096,0.4164
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_19_FastText_historicalVAD,0.5412,0.0,0.4585,0.0,0.2409,0.0157,0.4135
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_1_FastText_historicalVAD,0.5383,0.0,0.469,0.0,0.2393,0.0165,0.4156
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_20_FastText_historicalVAD,0.5427,0.0,0.4657,0.0,0.2436,0.0146,0.4173
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_21_FastText_historicalVAD,0.5369,0.0,0.4731,0.0,0.2411,0.0157,0.417
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_22_FastText_historicalVAD,0.5315,0.0,0.4628,0.0,0.2375,0.0174,0.4106
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_23_FastText_historicalVAD,0.5361,0.0,0.4589,0.0,0.2437,0.0146,0.4129
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_24_FastText_historicalVAD,0.5389,0.0,0.4645,0.0,0.2446,0.0142,0.416
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_25_FastText_historicalVAD,0.5393,0.0,0.4575,0.0,0.2578,0.0096,0.4182
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_26_FastText_historicalVAD,0.5349,0.0,0.4594,0.0,0.2513,0.0117,0.4152
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_27_FastText_historicalVAD,0.5362,0.0,0.4608,0.0,0.2485,0.0127,0.4152
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_28_FastText_historicalVAD,0.5418,0.0,0.4542,0.0,0.2389,0.0167,0.4116
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_29_FastText_historicalVAD,0.5359,0.0,0.4621,0.0,0.2466,0.0134,0.4149
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_2_FastText_historicalVAD,0.5393,0.0,0.4645,0.0,0.2441,0.0144,0.416
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_30_FastText_historicalVAD,0.5307,0.0,0.478,0.0,0.2402,0.0161,0.4163
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_31_FastText_historicalVAD,0.5329,0.0,0.4669,0.0,0.2368,0.0177,0.4122
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_32_FastText_historicalVAD,0.5389,0.0,0.4625,0.0,0.239,0.0166,0.4135
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_33_FastText_historicalVAD,0.5346,0.0,0.4724,0.0,0.2442,0.0144,0.4171
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_34_FastText_historicalVAD,0.5487,0.0,0.4635,0.0,0.2518,0.0115,0.4213
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_35_FastText_historicalVAD,0.5438,0.0,0.4639,0.0,0.2531,0.0111,0.4203
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_36_FastText_historicalVAD,0.5409,0.0,0.4582,0.0,0.2498,0.0122,0.4163
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_37_FastText_historicalVAD,0.5387,0.0,0.4643,0.0,0.251,0.0118,0.418
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_38_FastText_historicalVAD,0.5324,0.0,0.4557,0.0,0.2419,0.0153,0.41
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_39_FastText_historicalVAD,0.5355,0.0,0.4582,0.0,0.2481,0.0128,0.4139
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_3_FastText_historicalVAD,0.539,0.0,0.4603,0.0,0.2434,0.0147,0.4142
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_40_FastText_historicalVAD,0.5376,0.0,0.4546,0.0,0.2462,0.0135,0.4128
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_41_FastText_historicalVAD,0.537,0.0,0.4675,0.0,0.2467,0.0134,0.4171
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_42_FastText_historicalVAD,0.5297,0.0,0.461,0.0,0.2475,0.013,0.4127
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_43_FastText_historicalVAD,0.5385,0.0,0.4783,0.0,0.2494,0.0123,0.4221
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_44_FastText_historicalVAD,0.5423,0.0,0.4723,0.0,0.2495,0.0123,0.4214
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_45_FastText_historicalVAD,0.5325,0.0,0.469,0.0,0.2477,0.013,0.4164
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_46_FastText_historicalVAD,0.5472,0.0,0.4622,0.0,0.2443,0.0143,0.4179
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_47_FastText_historicalVAD,0.5334,0.0,0.4701,0.0,0.2403,0.016,0.4146
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_48_FastText_historicalVAD,0.5392,0.0,0.4567,0.0,0.2578,0.0096,0.4179
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_49_FastText_historicalVAD,0.5422,0.0,0.4573,0.0,0.2544,0.0106,0.418
HistoricalVAD\FastText_LinearRegression\Warriner8000\Warriner_8000_4_FastText_historicalVAD,0.5365,0.0,0.4745,0.0,0.2483,0.0127,0.4198
