,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_10_FastText_historicalVAD,0.4609,0.0,0.4464,0.0,0.2359,0.0181,0.381
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_11_FastText_historicalVAD,0.4993,0.0,0.4498,0.0,0.2641,0.0079,0.4044
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_12_FastText_historicalVAD,0.4514,0.0,0.4376,0.0,0.2312,0.0206,0.3734
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_13_FastText_historicalVAD,0.4663,0.0,0.4434,0.0,0.2912,0.0033,0.4003
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_14_FastText_historicalVAD,0.4685,0.0,0.4577,0.0,0.2942,0.003,0.4068
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_15_FastText_historicalVAD,0.5552,0.0,0.4552,0.0,0.2731,0.006,0.4279
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_16_FastText_historicalVAD,0.4939,0.0,0.4537,0.0,0.2905,0.0034,0.4127
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_17_FastText_historicalVAD,0.5286,0.0,0.4252,0.0,0.2859,0.0039,0.4132
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_18_FastText_historicalVAD,0.4939,0.0,0.4377,0.0,0.2525,0.0112,0.3947
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_19_FastText_historicalVAD,0.4647,0.0,0.4438,0.0,0.2526,0.0112,0.387
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_1_FastText_historicalVAD,0.4497,0.0,0.4328,0.0,0.2772,0.0052,0.3866
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_20_FastText_historicalVAD,0.4619,0.0,0.3676,0.0002,0.2902,0.0034,0.3732
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_21_FastText_historicalVAD,0.4788,0.0,0.4232,0.0,0.2849,0.0041,0.3956
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_22_FastText_historicalVAD,0.4644,0.0,0.4098,0.0,0.2747,0.0057,0.383
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_23_FastText_historicalVAD,0.4979,0.0,0.4405,0.0,0.2436,0.0146,0.394
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_24_FastText_historicalVAD,0.5112,0.0,0.4014,0.0,0.284,0.0042,0.3989
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_25_FastText_historicalVAD,0.5035,0.0,0.4142,0.0,0.2311,0.0207,0.3829
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_26_FastText_historicalVAD,0.5179,0.0,0.4377,0.0,0.2726,0.0061,0.4094
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_27_FastText_historicalVAD,0.4795,0.0,0.431,0.0,0.2825,0.0044,0.3977
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_28_FastText_historicalVAD,0.5073,0.0,0.423,0.0,0.272,0.0062,0.4007
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_29_FastText_historicalVAD,0.5041,0.0,0.4437,0.0,0.3152,0.0014,0.421
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_2_FastText_historicalVAD,0.571,0.0,0.4082,0.0,0.2455,0.0138,0.4083
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_30_FastText_historicalVAD,0.4685,0.0,0.4664,0.0,0.2997,0.0025,0.4115
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_31_FastText_historicalVAD,0.5616,0.0,0.4493,0.0,0.2803,0.0047,0.4304
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_32_FastText_historicalVAD,0.5853,0.0,0.4083,0.0,0.2925,0.0031,0.4287
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_33_FastText_historicalVAD,0.4469,0.0,0.4419,0.0,0.2125,0.0338,0.3671
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_34_FastText_historicalVAD,0.4548,0.0,0.3745,0.0001,0.2458,0.0137,0.3584
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_35_FastText_historicalVAD,0.5235,0.0,0.4234,0.0,0.2426,0.015,0.3965
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_36_FastText_historicalVAD,0.45,0.0,0.4415,0.0,0.2264,0.0235,0.3726
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_37_FastText_historicalVAD,0.4784,0.0,0.4142,0.0,0.2709,0.0064,0.3878
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_38_FastText_historicalVAD,0.4436,0.0,0.4278,0.0,0.2993,0.0025,0.3902
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_39_FastText_historicalVAD,0.493,0.0,0.4316,0.0,0.2671,0.0072,0.3972
HistoricalVAD\FastText_kNN\Warriner7000\Warriner_7000_3_FastText_historicalVAD,0.4552,0.0,0.4119,0.0,0.2089,0.037,0.3587
