,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_10_SGNS_historicalVAD,0.5433,0.0,0.4481,0.0,0.1867,0.0629,0.3927
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_11_SGNS_historicalVAD,0.5688,0.0,0.4684,0.0,0.1356,0.1786,0.3909
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_12_SGNS_historicalVAD,0.5184,0.0,0.4644,0.0,0.1977,0.0487,0.3935
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_13_SGNS_historicalVAD,0.5665,0.0,0.4476,0.0,0.236,0.0181,0.4167
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_14_SGNS_historicalVAD,0.5526,0.0,0.3939,0.0001,0.2396,0.0163,0.3954
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_15_SGNS_historicalVAD,0.5512,0.0,0.3793,0.0001,0.1702,0.0904,0.3669
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_16_SGNS_historicalVAD,0.5259,0.0,0.4644,0.0,0.1643,0.1025,0.3849
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_17_SGNS_historicalVAD,0.566,0.0,0.4475,0.0,0.2163,0.0307,0.4099
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_18_SGNS_historicalVAD,0.5533,0.0,0.4547,0.0,0.1476,0.1427,0.3852
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_19_SGNS_historicalVAD,0.5617,0.0,0.4465,0.0,0.1547,0.1244,0.3876
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_1_SGNS_historicalVAD,0.541,0.0,0.4342,0.0,0.1421,0.1585,0.3724
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_20_SGNS_historicalVAD,0.6042,0.0,0.455,0.0,0.1985,0.0478,0.4192
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_21_SGNS_historicalVAD,0.5587,0.0,0.4515,0.0,0.2152,0.0316,0.4084
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_22_SGNS_historicalVAD,0.5574,0.0,0.4515,0.0,0.1885,0.0604,0.3991
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_23_SGNS_historicalVAD,0.5811,0.0,0.4928,0.0,0.1771,0.0779,0.417
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_24_SGNS_historicalVAD,0.5832,0.0,0.4491,0.0,0.1998,0.0463,0.4107
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_25_SGNS_historicalVAD,0.5567,0.0,0.3919,0.0001,0.2359,0.0182,0.3948
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_26_SGNS_historicalVAD,0.5691,0.0,0.504,0.0,0.1499,0.1365,0.4077
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_27_SGNS_historicalVAD,0.5477,0.0,0.5167,0.0,0.1917,0.056,0.4187
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_28_SGNS_historicalVAD,0.5637,0.0,0.4652,0.0,0.2006,0.0453,0.4099
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_29_SGNS_historicalVAD,0.5543,0.0,0.4478,0.0,0.1979,0.0485,0.4
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_2_SGNS_historicalVAD,0.5838,0.0,0.4418,0.0,0.2435,0.0146,0.423
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_30_SGNS_historicalVAD,0.5418,0.0,0.4263,0.0,0.184,0.0669,0.3841
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_31_SGNS_historicalVAD,0.5304,0.0,0.4154,0.0,0.1888,0.0599,0.3782
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_32_SGNS_historicalVAD,0.5576,0.0,0.4669,0.0,0.1691,0.0925,0.3979
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_33_SGNS_historicalVAD,0.5073,0.0,0.4018,0.0,0.1351,0.1802,0.3481
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_34_SGNS_historicalVAD,0.555,0.0,0.4627,0.0,0.1941,0.053,0.4039
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_35_SGNS_historicalVAD,0.5417,0.0,0.4336,0.0,0.1877,0.0614,0.3877
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_36_SGNS_historicalVAD,0.5412,0.0,0.4607,0.0,0.1986,0.0476,0.4002
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_37_SGNS_historicalVAD,0.525,0.0,0.4848,0.0,0.1939,0.0533,0.4012
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_38_SGNS_historicalVAD,0.5308,0.0,0.4984,0.0,0.1629,0.1054,0.3973
HistoricalVAD\SGNS_LinearRegression\NRC_VAD4000\NRC_VAD_4000_39_SGNS_historicalVAD,0.5617,0.0,0.4643,0.0,0.1811,0.0713,0.4024
