,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_10_SGNS_historicalVAD,0.5406,0.0,0.4564,0.0,0.2357,0.0182,0.4109
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_11_SGNS_historicalVAD,0.5061,0.0,0.3827,0.0001,0.268,0.007,0.3856
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_12_SGNS_historicalVAD,0.5469,0.0,0.3976,0.0,0.3068,0.0019,0.4171
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_13_SGNS_historicalVAD,0.5587,0.0,0.3976,0.0,0.3162,0.0014,0.4241
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_14_SGNS_historicalVAD,0.5455,0.0,0.3952,0.0,0.3036,0.0021,0.4148
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_15_SGNS_historicalVAD,0.5339,0.0,0.3407,0.0005,0.3142,0.0015,0.3963
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_16_SGNS_historicalVAD,0.5109,0.0,0.4442,0.0,0.2948,0.0029,0.4166
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_17_SGNS_historicalVAD,0.5409,0.0,0.4477,0.0,0.2784,0.005,0.4223
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_18_SGNS_historicalVAD,0.5073,0.0,0.4291,0.0,0.2716,0.0063,0.4027
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_19_SGNS_historicalVAD,0.5596,0.0,0.4557,0.0,0.2772,0.0052,0.4308
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_1_SGNS_historicalVAD,0.529,0.0,0.3962,0.0,0.2913,0.0033,0.4055
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_20_SGNS_historicalVAD,0.5303,0.0,0.3843,0.0001,0.2924,0.0032,0.4023
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_21_SGNS_historicalVAD,0.5585,0.0,0.4066,0.0,0.3634,0.0002,0.4428
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_22_SGNS_historicalVAD,0.5286,0.0,0.4344,0.0,0.3117,0.0016,0.4249
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_23_SGNS_historicalVAD,0.5383,0.0,0.4155,0.0,0.3079,0.0018,0.4206
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_24_SGNS_historicalVAD,0.5611,0.0,0.361,0.0002,0.3131,0.0015,0.4118
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_25_SGNS_historicalVAD,0.5031,0.0,0.3897,0.0001,0.308,0.0018,0.4003
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_26_SGNS_historicalVAD,0.5478,0.0,0.3934,0.0001,0.2931,0.0031,0.4114
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_27_SGNS_historicalVAD,0.5161,0.0,0.3561,0.0003,0.2809,0.0046,0.3844
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_28_SGNS_historicalVAD,0.5243,0.0,0.4218,0.0,0.2791,0.0049,0.4084
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_29_SGNS_historicalVAD,0.5546,0.0,0.453,0.0,0.3101,0.0017,0.4392
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_2_SGNS_historicalVAD,0.5288,0.0,0.3975,0.0,0.3088,0.0018,0.4117
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_30_SGNS_historicalVAD,0.5202,0.0,0.4091,0.0,0.2719,0.0062,0.4004
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_31_SGNS_historicalVAD,0.5986,0.0,0.4065,0.0,0.3627,0.0002,0.4559
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_32_SGNS_historicalVAD,0.5185,0.0,0.4097,0.0,0.2697,0.0067,0.3993
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_33_SGNS_historicalVAD,0.5515,0.0,0.471,0.0,0.2727,0.0061,0.4317
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_34_SGNS_historicalVAD,0.5106,0.0,0.4323,0.0,0.2697,0.0067,0.4042
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_35_SGNS_historicalVAD,0.5542,0.0,0.3989,0.0,0.2381,0.0171,0.397
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_36_SGNS_historicalVAD,0.5454,0.0,0.4025,0.0,0.3364,0.0006,0.4281
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_37_SGNS_historicalVAD,0.5386,0.0,0.428,0.0,0.3331,0.0007,0.4332
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_38_SGNS_historicalVAD,0.5255,0.0,0.377,0.0001,0.2814,0.0046,0.3946
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_39_SGNS_historicalVAD,0.5024,0.0,0.4647,0.0,0.2658,0.0075,0.411
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_3_SGNS_historicalVAD,0.5423,0.0,0.4351,0.0,0.3248,0.001,0.4341
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_40_SGNS_historicalVAD,0.5381,0.0,0.4113,0.0,0.2639,0.008,0.4044
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_41_SGNS_historicalVAD,0.5388,0.0,0.4066,0.0,0.2914,0.0033,0.4123
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_42_SGNS_historicalVAD,0.5603,0.0,0.4163,0.0,0.2872,0.0038,0.4212
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_43_SGNS_historicalVAD,0.5697,0.0,0.3889,0.0001,0.3602,0.0002,0.4396
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_44_SGNS_historicalVAD,0.5282,0.0,0.3924,0.0001,0.2896,0.0035,0.4034
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_45_SGNS_historicalVAD,0.5025,0.0,0.3724,0.0001,0.2698,0.0066,0.3815
HistoricalVAD\SGNS_LinearRegression\Warriner5000\Warriner_5000_46_SGNS_historicalVAD,0.5426,0.0,0.4167,0.0,0.2663,0.0074,0.4085
