,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_10_SGNS_historicalVAD,0.5037,0.0,0.3655,0.0002,0.09,0.3734,0.3197
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_11_SGNS_historicalVAD,0.4863,0.0,0.3833,0.0001,0.0899,0.3735,0.3198
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_12_SGNS_historicalVAD,0.4969,0.0,0.3852,0.0001,0.0912,0.367,0.3244
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_13_SGNS_historicalVAD,0.5033,0.0,0.3834,0.0001,0.0899,0.3735,0.3255
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_14_SGNS_historicalVAD,0.5025,0.0,0.3849,0.0001,0.0934,0.3552,0.3269
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_15_SGNS_historicalVAD,0.4979,0.0,0.3796,0.0001,0.0926,0.3597,0.3234
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_16_SGNS_historicalVAD,0.4903,0.0,0.3892,0.0001,0.0871,0.3889,0.3222
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_17_SGNS_historicalVAD,0.505,0.0,0.3788,0.0001,0.0882,0.3826,0.324
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_18_SGNS_historicalVAD,0.4978,0.0,0.3889,0.0001,0.0901,0.3728,0.3256
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_19_SGNS_historicalVAD,0.4949,0.0,0.3758,0.0001,0.0874,0.3872,0.3194
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_1_SGNS_historicalVAD,0.4909,0.0,0.3813,0.0001,0.0871,0.3891,0.3198
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_20_SGNS_historicalVAD,0.4874,0.0,0.3887,0.0001,0.0914,0.3656,0.3225
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_21_SGNS_historicalVAD,0.497,0.0,0.3839,0.0001,0.09,0.3733,0.3236
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_22_SGNS_historicalVAD,0.4997,0.0,0.3916,0.0001,0.0921,0.3619,0.3278
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_23_SGNS_historicalVAD,0.4839,0.0,0.378,0.0001,0.0836,0.4083,0.3151
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_24_SGNS_historicalVAD,0.4962,0.0,0.3818,0.0001,0.0904,0.3712,0.3228
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_25_SGNS_historicalVAD,0.4923,0.0,0.3881,0.0001,0.0891,0.378,0.3232
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_26_SGNS_historicalVAD,0.4991,0.0,0.3871,0.0001,0.0893,0.3767,0.3252
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_27_SGNS_historicalVAD,0.4913,0.0,0.3868,0.0001,0.087,0.3893,0.3217
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_28_SGNS_historicalVAD,0.4952,0.0,0.3752,0.0001,0.0876,0.3862,0.3193
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_29_SGNS_historicalVAD,0.4998,0.0,0.3833,0.0001,0.0916,0.3647,0.3249
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_2_SGNS_historicalVAD,0.4888,0.0,0.3897,0.0001,0.0944,0.3504,0.3243
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_30_SGNS_historicalVAD,0.499,0.0,0.381,0.0001,0.0857,0.3967,0.3219
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_31_SGNS_historicalVAD,0.5076,0.0,0.3848,0.0001,0.0908,0.3691,0.3277
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_32_SGNS_historicalVAD,0.4956,0.0,0.3817,0.0001,0.0892,0.3775,0.3222
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_33_SGNS_historicalVAD,0.4895,0.0,0.3842,0.0001,0.0894,0.3766,0.321
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_34_SGNS_historicalVAD,0.4987,0.0,0.3765,0.0001,0.085,0.4006,0.3201
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_35_SGNS_historicalVAD,0.5001,0.0,0.384,0.0001,0.0913,0.3665,0.3251
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_36_SGNS_historicalVAD,0.4941,0.0,0.3954,0.0,0.0911,0.3675,0.3269
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_37_SGNS_historicalVAD,0.5058,0.0,0.3789,0.0001,0.0918,0.3636,0.3255
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_38_SGNS_historicalVAD,0.5013,0.0,0.3897,0.0001,0.085,0.4002,0.3254
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_39_SGNS_historicalVAD,0.4964,0.0,0.3862,0.0001,0.0895,0.3757,0.324
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_3_SGNS_historicalVAD,0.4966,0.0,0.3866,0.0001,0.0918,0.3634,0.325
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_40_SGNS_historicalVAD,0.4984,0.0,0.3756,0.0001,0.0864,0.3928,0.3201
HistoricalVAD\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_41_SGNS_historicalVAD,0.497,0.0,0.3837,0.0001,0.0918,0.3638,0.3242
